index,x,y,source
0,-121.383917,38.5638133,crossing_node
1,-121.383506,38.6408946,crossing_node
2,-121.5099299,38.6144589,crossing_node
3,-121.520436,38.679674,crossing_node
4,-121.4281429,38.458116,crossing_node
5,-121.4231396,38.5445572,crossing_node
6,-121.5048121,38.5893555,crossing_node
7,-121.4907667,38.5302777,crossing_node
8,-121.537952,38.6043348,crossing_node
9,-121.5327612,38.6322778,crossing_node
10,-121.493638,38.5611253,crossing_node
11,-121.503586,38.5375499,crossing_node
12,-121.4880885,38.5525857,crossing_node
13,-121.4284498,38.458036,crossing_node
14,-121.4757673,38.5409444,crossing_node
15,-121.5023262,38.6803696,crossing_node
16,-121.5007954,38.6794937,crossing_node
17,-121.4624876,38.5469931,crossing_node
18,-121.462591,38.5468282,crossing_node
19,-121.4279054,38.554353,crossing_node
20,-121.4762412,38.6365023,crossing_node
21,-121.4379293,38.6052758,crossing_node
22,-121.527607,38.6058314,crossing_node
23,-121.435282,38.5322148,crossing_node
24,-121.44369,38.4473014,crossing_node
25,-121.4437411,38.4473797,crossing_node
26,-121.5138674,38.6038291,crossing_node
27,-121.5141801,38.6039086,crossing_node
28,-121.409218,38.5448231,crossing_node
30,-121.4314721,38.4383437,crossing_node
31,-121.499467,38.5244427,crossing_node
32,-121.432587,38.5639986,crossing_node
33,-121.5112764,38.6520255,crossing_node
34,-121.4231677,38.4453334,crossing_node
35,-121.4474879,38.6439432,crossing_node
36,-121.4474876,38.6328297,crossing_node
37,-121.4474952,38.6288387,crossing_node
38,-121.4577619,38.6111415,crossing_node
39,-121.4593864,38.610274,crossing_node
40,-121.5247055,38.6277983,crossing_node
41,-121.4633387,38.5471118,crossing_node
42,-121.4633425,38.5468913,crossing_node
43,-121.4329318,38.5395534,crossing_node
44,-121.5279698,38.6623343,crossing_node
45,-121.5248161,38.6486062,crossing_node
46,-121.4592519,38.577359,crossing_node
47,-121.4333144,38.5644628,crossing_node
48,-121.4578078,38.5468888,crossing_node
49,-121.4577988,38.5466583,crossing_node
50,-121.4349458,38.5385523,crossing_node
51,-121.4956873,38.5769353,crossing_node
52,-121.4954809,38.5774018,crossing_node
53,-121.536505,38.6050045,crossing_node
54,-121.4679519,38.6111825,crossing_node
55,-121.5050832,38.6125873,crossing_node
56,-121.510726,38.6707147,crossing_node
57,-121.4092967,38.5421879,crossing_node
58,-121.439279,38.478353,crossing_node
59,-121.4554545,38.606152,crossing_node
60,-121.4594083,38.5467085,crossing_node
61,-121.44851,38.6065392,crossing_node
62,-121.49782,38.524825,crossing_node
63,-121.4220415,38.5542326,crossing_node
64,-121.509911,38.550859,crossing_node
65,-121.493619,38.5305707,crossing_node
66,-121.492628,38.5788576,crossing_node
67,-121.505244,38.5488204,crossing_node
68,-121.4304912,38.5983436,crossing_node
69,-121.539744,38.6032547,crossing_node
70,-121.498087,38.5642556,crossing_node
71,-121.4314618,38.4637099,crossing_node
72,-121.430525,38.57013,crossing_node
73,-121.508051,38.6654492,crossing_node
74,-121.518191,38.528401,crossing_node
75,-121.5323277,38.4764358,crossing_node
76,-121.488742,38.5765838,crossing_node
77,-121.5088346,38.6125644,crossing_node
78,-121.4641641,38.6064975,crossing_node
79,-121.5208284,38.6140383,crossing_node
80,-121.47156,38.5995853,crossing_node
81,-121.5053207,38.6385596,crossing_node
82,-121.4963286,38.5771562,crossing_node
83,-121.496157,38.5772677,crossing_node
84,-121.496107,38.5773775,crossing_node
85,-121.4961663,38.5775332,crossing_node
86,-121.5082189,38.6273828,crossing_node
87,-121.4688795,38.5749753,crossing_node
88,-121.4306975,38.6011096,crossing_node
89,-121.4327134,38.6024867,crossing_node
90,-121.4211497,38.5956213,crossing_node
91,-121.4204561,38.5961793,crossing_node
92,-121.4092358,38.5696581,crossing_node
93,-121.4059772,38.6375965,crossing_node
94,-121.526787,38.6114424,crossing_node
95,-121.4854832,38.5744343,crossing_node
96,-121.4941979,38.5755431,crossing_node
97,-121.4939602,38.5754798,crossing_node
98,-121.4902829,38.5770011,crossing_node
99,-121.492633,38.5751302,crossing_node
100,-121.4916495,38.5773702,crossing_node
101,-121.4928539,38.5751889,crossing_node
102,-121.494966,38.5768934,crossing_node
103,-121.4889794,38.5766493,crossing_node
104,-121.4910324,38.5747045,crossing_node
105,-121.5092127,38.5754207,crossing_node
106,-121.4093761,38.5494175,crossing_node
107,-121.4570254,38.6060469,crossing_node
108,-121.4579502,38.6063199,crossing_node
109,-121.448429,38.6064138,crossing_node
110,-121.4487028,38.6064143,crossing_node
111,-121.455431,38.6065169,crossing_node
112,-121.4086781,38.5447539,crossing_node
113,-121.4952745,38.5770893,crossing_node
114,-121.5048865,38.6127375,crossing_node
115,-121.4254012,38.4740884,crossing_node
116,-121.4257541,38.4740953,crossing_node
117,-121.4256461,38.4741282,crossing_node
118,-121.4193166,38.4745417,crossing_node
119,-121.5006444,38.584575,crossing_node
120,-121.4898151,38.548188,crossing_node
121,-121.495132,38.531561,crossing_node
122,-121.495042,38.5314426,crossing_node
123,-121.4927456,38.5380981,crossing_node
124,-121.494035,38.5337969,crossing_node
125,-121.4921709,38.5249184,crossing_node
126,-121.4920098,38.5249189,crossing_node
127,-121.4282565,38.4580106,crossing_node
128,-121.4452208,38.4792687,crossing_node
129,-121.4457595,38.4798214,crossing_node
130,-121.4450463,38.4792501,crossing_node
131,-121.447168,38.4810908,crossing_node
132,-121.4315141,38.5641637,crossing_node
133,-121.4926932,38.5382561,crossing_node
134,-121.484735,38.5398893,crossing_node
135,-121.4779601,38.5846304,crossing_node
136,-121.4778048,38.5846853,crossing_node
137,-121.479263,38.5849757,crossing_node
138,-121.4791379,38.5850383,crossing_node
139,-121.4793889,38.5851154,crossing_node
140,-121.4807451,38.5929635,crossing_node
141,-121.4809242,38.5930052,crossing_node
142,-121.4806869,38.5931449,crossing_node
143,-121.4801796,38.5897334,crossing_node
144,-121.4544885,38.5795573,crossing_node
145,-121.447172,38.6043173,crossing_node
146,-121.446303,38.604315,crossing_node
147,-121.446522,38.6043156,crossing_node
148,-121.446735,38.6043161,crossing_node
149,-121.446951,38.6043167,crossing_node
150,-121.4491762,38.6043281,crossing_node
151,-121.4492827,38.6044236,crossing_node
152,-121.4437463,38.6063997,crossing_node
153,-121.5343105,38.6420492,crossing_node
154,-121.5509163,38.6532252,crossing_node
155,-121.497775,38.6408306,crossing_node
156,-121.5255132,38.6577984,crossing_node
157,-121.4380275,38.6053203,crossing_node
158,-121.5151657,38.6432197,crossing_node
159,-121.5160855,38.5679738,crossing_node
160,-121.4200347,38.6203569,crossing_node
161,-121.5037997,38.6387235,crossing_node
162,-121.5425621,38.6578498,crossing_node
163,-121.504339,38.6362877,crossing_node
164,-121.517199,38.6426217,crossing_node
165,-121.4989198,38.6370771,crossing_node
166,-121.5307916,38.6536077,crossing_node
167,-121.4972152,38.6373104,crossing_node
168,-121.5248761,38.6487872,crossing_node
169,-121.5248108,38.6487201,crossing_node
170,-121.5106959,38.6475253,crossing_node
171,-121.5099875,38.6475524,crossing_node
172,-121.4996776,38.6375699,crossing_node
173,-121.5301226,38.6631061,crossing_node
174,-121.5208272,38.6141268,crossing_node
175,-121.5331536,38.6537968,crossing_node
176,-121.5049158,38.6526077,crossing_node
177,-121.5520607,38.6531474,crossing_node
178,-121.4636231,38.5973597,crossing_node
181,-121.459413,38.6061709,crossing_node
182,-121.4589396,38.6064352,crossing_node
183,-121.4558285,38.6075852,crossing_node
184,-121.4538014,38.6086352,crossing_node
185,-121.4538677,38.6087246,crossing_node
186,-121.4507253,38.6093218,crossing_node
187,-121.4509007,38.6093232,crossing_node
188,-121.4508524,38.6099688,crossing_node
189,-121.4502494,38.6102537,crossing_node
190,-121.4493098,38.610716,crossing_node
191,-121.4493743,38.6109935,crossing_node
192,-121.448885,38.6109919,crossing_node
193,-121.5077942,38.6405657,crossing_node
194,-121.4594569,38.6100058,crossing_node
195,-121.5328259,38.6277756,crossing_node
196,-121.519573,38.627782,crossing_node
197,-121.4552745,38.6122603,crossing_node
198,-121.4556438,38.6125159,crossing_node
199,-121.4523558,38.6142825,crossing_node
200,-121.4515115,38.6097324,crossing_node
201,-121.4515785,38.6098227,crossing_node
202,-121.3827622,38.5635452,crossing_node
203,-121.5275699,38.6376589,crossing_node
204,-121.425648,38.5685644,crossing_node
205,-121.525667,38.6128356,crossing_node
206,-121.4884591,38.5519525,crossing_node
207,-121.4719462,38.5493583,crossing_node
208,-121.4644912,38.547113,crossing_node
209,-121.4220978,38.5565039,crossing_node
210,-121.4222849,38.5566313,crossing_node
211,-121.5107105,38.6679381,crossing_node
212,-121.5123347,38.6701086,crossing_node
213,-121.4843415,38.6245878,crossing_node
214,-121.4479702,38.6267691,crossing_node
215,-121.5049011,38.4814545,crossing_node
216,-121.4571511,38.6548749,crossing_node
217,-121.4571534,38.6549952,crossing_node
218,-121.47193,38.6551865,crossing_node
219,-121.4662987,38.6553032,crossing_node
220,-121.512409,38.6559486,crossing_node
221,-121.5086442,38.6562649,crossing_node
222,-121.5023942,38.5837205,crossing_node
223,-121.5029269,38.582889,crossing_node
224,-121.5048647,38.6128755,crossing_node
225,-121.5069682,38.5800571,crossing_node
226,-121.5008765,38.583503,crossing_node
227,-121.500825,38.5836259,crossing_node
228,-121.5006791,38.5839759,crossing_node
229,-121.500733,38.5838372,crossing_node
